shipment_id,bol,carrier_id,carrier_name,integration_type,mode,origin_city,origin_state,destination_city,destination_state,pickup_date,scheduled_delivery,estimated_delivery,actual_delivery,status,last_event,last_event_time,milestones_received,milestones_expected,exception_type,exception_severity,notes
SHP001,BOL-XPO-001,C001,XPO Logistics,API,LTL,Chicago,IL,Dallas,TX,2026-03-12,2026-03-14,2026-03-14,2026-03-14 14:30:00,delivered,DELIVERED,2026-03-14 14:30:00,6,6,,,On time
SHP002,BOL-XPO-002,C001,XPO Logistics,API,FTL,New York,NY,Atlanta,GA,2026-03-13,2026-03-15,2026-03-16,,in_transit,AT_FACILITY,2026-03-15 08:00:00,4,6,DELAY,HIGH,ETA pushed +1 day
SHP003,BOL-XPO-003,C001,XPO Logistics,API,LTL,Los Angeles,CA,Phoenix,AZ,2026-03-14,2026-03-15,2026-03-15,,in_transit,IN_TRANSIT,2026-03-15 18:00:00,3,4,,,On schedule
SHP004,BOL-XPO-004,C001,XPO Logistics,API,LTL,Houston,TX,Denver,CO,2026-03-13,2026-03-15,2026-03-15,2026-03-15 11:00:00,delivered,DELIVERED,2026-03-15 11:00:00,5,5,,,On time
SHP005,BOL-XPO-005,C001,XPO Logistics,API,FTL,Detroit,MI,Nashville,TN,2026-03-14,2026-03-15,2026-03-15,2026-03-15 09:45:00,delivered,DELIVERED,2026-03-15 09:45:00,5,5,,,On time
SHP006,BOL-XPO-006,C001,XPO Logistics,API,LTL,Memphis,TN,Miami,FL,2026-03-11,2026-03-14,2026-03-14,2026-03-14 16:00:00,delivered,DELIVERED,2026-03-14 16:00:00,6,6,,,On time
SHP007,BOL-XPO-007,C001,XPO Logistics,API,LTL,Seattle,WA,Portland,OR,2026-03-15,2026-03-15,2026-03-15,,in_transit,PICKUP_CONFIRMED,2026-03-15 07:00:00,1,4,,,Just picked up
SHP008,BOL-XPO-008,C001,XPO Logistics,API,FTL,Charlotte,NC,Philadelphia,PA,2026-03-12,2026-03-14,2026-03-15,,in_transit,AT_FACILITY,2026-03-14 22:00:00,4,5,DELAY,MEDIUM,Minor delay 1 day
SHP009,BOL-JBH-001,C006,J.B. Hunt Transport,API,FTL,Chicago,IL,Houston,TX,2026-03-13,2026-03-15,2026-03-15,2026-03-15 13:00:00,delivered,DELIVERED,2026-03-15 13:00:00,5,5,,,On time
SHP010,BOL-JBH-002,C006,J.B. Hunt Transport,API,LTL,New York,NY,Miami,FL,2026-03-12,2026-03-15,2026-03-15,,in_transit,IN_TRANSIT,2026-03-15 20:00:00,4,5,,,On schedule
SHP011,BOL-JBH-003,C006,J.B. Hunt Transport,API,FTL,Los Angeles,CA,Las Vegas,NV,2026-03-14,2026-03-15,2026-03-15,2026-03-15 10:30:00,delivered,DELIVERED,2026-03-15 10:30:00,5,5,,,On time
SHP012,BOL-JBH-004,C006,J.B. Hunt Transport,API,LTL,Dallas,TX,Atlanta,GA,2026-03-13,2026-03-15,2026-03-15,2026-03-15 15:00:00,delivered,DELIVERED,2026-03-15 15:00:00,5,5,,,On time
SHP013,BOL-JBH-005,C006,J.B. Hunt Transport,API,FTL,Phoenix,AZ,Denver,CO,2026-03-14,2026-03-16,2026-03-16,,in_transit,IN_TRANSIT,2026-03-15 19:00:00,3,5,,,On schedule
SHP014,BOL-JBH-006,C006,J.B. Hunt Transport,API,LTL,Nashville,TN,Detroit,MI,2026-03-13,2026-03-14,2026-03-14,2026-03-14 17:00:00,delivered,DELIVERED,2026-03-14 17:00:00,5,5,,,On time
SHP015,BOL-JBH-007,C006,J.B. Hunt Transport,API,FTL,Atlanta,GA,Charlotte,NC,2026-03-15,2026-03-16,2026-03-16,,in_transit,PICKUP_CONFIRMED,2026-03-15 06:00:00,1,4,,,Picked up today
SHP016,BOL-SAIA-001,C009,Saia LTL Freight,EDI,LTL,Atlanta,GA,Miami,FL,2026-03-10,2026-03-13,2026-03-17,,exception,AT_FACILITY,2026-03-08 12:00:00,3,8,NO_UPDATE,CRITICAL,Last update 7 days ago - EDI feed in error state
SHP017,SAIA2026031500821,C009,Saia LTL Freight,EDI,LTL,Charlotte,NC,Philadelphia,PA,2026-03-12,2026-03-15,2026-03-17,,exception,IN_TRANSIT,2026-03-12 18:00:00,2,6,DATA_GAP,HIGH,AT7-06 errors - milestones not reaching platform
SHP018,SAIA2026031500822,C009,Saia LTL Freight,EDI,LTL,Jacksonville,FL,Baltimore,MD,2026-03-12,2026-03-15,2026-03-18,,exception,IN_TRANSIT,2026-03-12 20:00:00,1,6,DATA_GAP,HIGH,AT7-06 errors - milestones not reaching platform
SHP019,SAIA2026031500823,C009,Saia LTL Freight,EDI,LTL,Memphis,TN,Chicago,IL,2026-03-13,2026-03-15,2026-03-17,,at_risk,AT_FACILITY,2026-03-13 14:00:00,2,5,DELAY,HIGH,ETA +2 days due to data quality issues
SHP020,BOL-SAIA-005,C009,Saia LTL Freight,EDI,LTL,Houston,TX,Nashville,TN,2026-03-11,2026-03-13,2026-03-13,2026-03-13 15:00:00,delivered,DELIVERED,2026-03-13 15:00:00,4,4,,,On time before EDI issue
SHP021,SAIA2026031500824,C009,Saia LTL Freight,EDI,LTL,Dallas,TX,Kansas City,MO,2026-03-13,2026-03-16,2026-03-18,,at_risk,IN_TRANSIT,2026-03-14 10:00:00,2,6,DELAY,MEDIUM,Milestone data incomplete
SHP022,BOL-EXP-001,C005,Estes Express Lines,EDI,LTL,Chicago,IL,Detroit,MI,2026-03-12,2026-03-14,2026-03-14,2026-03-15 09:00:00,delivered,DELIVERED,2026-03-15 09:00:00,4,5,,,1 day late
SHP023,BOL-EXP-002,C005,Estes Express Lines,EDI,LTL,New York,NY,Boston,MA,2026-03-13,2026-03-14,2026-03-16,,exception,AT_FACILITY,2026-03-13 22:00:00,2,5,DELAY,HIGH,No update in 45h - ETA +2 days
SHP024,BOL-EXP-003,C005,Estes Express Lines,EDI,LTL,Atlanta,GA,Tampa,FL,2026-03-14,2026-03-15,2026-03-16,,at_risk,IN_TRANSIT,2026-03-15 06:00:00,2,4,DELAY,MEDIUM,ETA +1 day
SHP025,BOL-EXP-004,C005,Estes Express Lines,EDI,FTL,Houston,TX,San Antonio,TX,2026-03-14,2026-03-15,2026-03-15,2026-03-15 14:00:00,delivered,DELIVERED,2026-03-15 14:00:00,5,5,,,On time
SHP026,BOL-EXP-005,C005,Estes Express Lines,EDI,LTL,Charlotte,NC,Washington,DC,2026-03-13,2026-03-15,2026-03-17,,exception,IN_TRANSIT,2026-03-13 16:00:00,1,5,NO_UPDATE,HIGH,No update in 47h
SHP027,BOL-EXP-006,C005,Estes Express Lines,EDI,LTL,Dallas,TX,Oklahoma City,OK,2026-03-14,2026-03-15,2026-03-15,2026-03-15 16:00:00,delivered,DELIVERED,2026-03-15 16:00:00,4,5,,,On time
SHP028,BOL-OLD-001,C003,Old Dominion Freight,EDI,LTL,Los Angeles,CA,Las Vegas,NV,2026-03-14,2026-03-15,2026-03-15,2026-03-15 11:30:00,delivered,DELIVERED,2026-03-15 11:30:00,5,5,,,On time
SHP029,BOL-OLD-002,C003,Old Dominion Freight,EDI,LTL,Chicago,IL,Minneapolis,MN,2026-03-13,2026-03-15,2026-03-15,,in_transit,IN_TRANSIT,2026-03-15 10:00:00,4,5,,,On schedule
SHP030,BOL-OLD-003,C003,Old Dominion Freight,EDI,LTL,Dallas,TX,Denver,CO,2026-03-12,2026-03-14,2026-03-14,2026-03-14 18:00:00,delivered,DELIVERED,2026-03-14 18:00:00,5,5,,,On time
SHP031,BOL-OLD-004,C003,Old Dominion Freight,EDI,LTL,Atlanta,GA,Charlotte,NC,2026-03-14,2026-03-15,2026-03-16,,at_risk,AT_FACILITY,2026-03-15 04:00:00,3,4,DELAY,LOW,Minor delay expected
SHP032,BOL-OLD-005,C003,Old Dominion Freight,EDI,LTL,Houston,TX,New Orleans,LA,2026-03-13,2026-03-14,2026-03-14,2026-03-14 13:00:00,delivered,DELIVERED,2026-03-14 13:00:00,5,5,,,On time
SHP033,BOL-WRN-001,C004,Werner Enterprises,API,FTL,Chicago,IL,Kansas City,MO,2026-03-14,2026-03-15,2026-03-15,2026-03-15 12:00:00,delivered,DELIVERED,2026-03-15 12:00:00,5,5,,,On time
SHP034,BOL-WRN-002,C004,Werner Enterprises,API,FTL,Los Angeles,CA,Seattle,WA,2026-03-13,2026-03-16,2026-03-16,,in_transit,IN_TRANSIT,2026-03-15 18:00:00,3,5,,,On schedule
SHP035,BOL-WRN-003,C004,Werner Enterprises,API,FTL,Dallas,TX,Chicago,IL,2026-03-12,2026-03-14,2026-03-14,2026-03-14 15:00:00,delivered,DELIVERED,2026-03-14 15:00:00,5,5,,,On time
SHP036,BOL-WRN-004,C004,Werner Enterprises,API,LTL,Atlanta,GA,Memphis,TN,2026-03-14,2026-03-15,2026-03-15,2026-03-15 10:00:00,delivered,DELIVERED,2026-03-15 10:00:00,5,5,,,On time
SHP037,BOL-WRN-005,C004,Werner Enterprises,API,FTL,Houston,TX,Phoenix,AZ,2026-03-13,2026-03-16,2026-03-16,,in_transit,IN_TRANSIT,2026-03-15 20:00:00,3,5,,,On schedule
SHP038,BOL-KNI-001,C007,Knight-Swift,Flat File,FTL,Los Angeles,CA,Phoenix,AZ,2026-03-14,2026-03-15,2026-03-15,2026-03-15 13:00:00,delivered,DELIVERED,2026-03-15 13:00:00,3,4,,,On time
SHP039,BOL-KNI-002,C007,Knight-Swift,Flat File,FTL,Dallas,TX,Denver,CO,2026-03-13,2026-03-15,2026-03-16,,at_risk,AT_FACILITY,2026-03-14 14:00:00,2,4,DELAY,MEDIUM,+1 day - flat file updates slow
SHP040,BOL-KNI-003,C007,Knight-Swift,Flat File,FTL,Chicago,IL,Detroit,MI,2026-03-14,2026-03-15,2026-03-15,2026-03-15 16:00:00,delivered,DELIVERED,2026-03-15 16:00:00,3,4,,,On time
SHP041,BOL-KNI-004,C007,Knight-Swift,Flat File,FTL,Atlanta,GA,Charlotte,NC,2026-03-15,2026-03-16,2026-03-16,,in_transit,PICKUP_CONFIRMED,2026-03-15 09:00:00,1,4,,,Picked up today
SHP042,BOL-FWD-001,C010,Forward Air,API,LTL,Chicago,IL,Indianapolis,IN,2026-03-14,2026-03-15,2026-03-15,2026-03-15 10:00:00,delivered,DELIVERED,2026-03-15 10:00:00,5,5,,,On time
SHP043,BOL-FWD-002,C010,Forward Air,API,LTL,Dallas,TX,Austin,TX,2026-03-14,2026-03-15,2026-03-15,2026-03-15 14:30:00,delivered,DELIVERED,2026-03-15 14:30:00,5,5,,,On time
SHP044,BOL-FWD-003,C010,Forward Air,API,LTL,Atlanta,GA,Nashville,TN,2026-03-15,2026-03-16,2026-03-16,,in_transit,IN_TRANSIT,2026-03-15 19:00:00,2,4,,,On schedule
SHP045,BOL-FWD-004,C010,Forward Air,API,LTL,Los Angeles,CA,San Francisco,CA,2026-03-14,2026-03-15,2026-03-15,2026-03-15 12:00:00,delivered,DELIVERED,2026-03-15 12:00:00,5,5,,,On time
SHP046,BOL-SEF-001,C012,Southeastern Freight Lines,EDI,LTL,Charlotte,NC,Atlanta,GA,2026-03-13,2026-03-14,2026-03-15,,at_risk,AT_FACILITY,2026-03-14 08:00:00,3,5,DELAY,MEDIUM,+1 day ETA
SHP047,BOL-SEF-002,C012,Southeastern Freight Lines,EDI,LTL,Memphis,TN,Nashville,TN,2026-03-14,2026-03-15,2026-03-15,2026-03-15 11:00:00,delivered,DELIVERED,2026-03-15 11:00:00,3,4,,,On time
SHP048,BOL-SEF-003,C012,Southeastern Freight Lines,EDI,LTL,Atlanta,GA,Birmingham,AL,2026-03-15,2026-03-16,2026-03-16,,in_transit,PICKUP_CONFIRMED,2026-03-15 10:00:00,1,4,,,Picked up today
SHP049,BOL-SEF-004,C012,Southeastern Freight Lines,EDI,LTL,Dallas,TX,Shreveport,LA,2026-03-13,2026-03-14,2026-03-14,2026-03-14 16:00:00,delivered,DELIVERED,2026-03-14 16:00:00,3,4,,,On time
SHP050,BOL-RYD-001,C002,Ryder Transportation,API,FTL,Chicago,IL,Minneapolis,MN,2026-03-14,2026-03-15,2026-03-15,2026-03-15 13:30:00,delivered,DELIVERED,2026-03-15 13:30:00,5,5,,,On time
SHP051,BOL-RYD-002,C002,Ryder Transportation,API,FTL,New York,NY,Philadelphia,PA,2026-03-14,2026-03-15,2026-03-15,2026-03-15 09:00:00,delivered,DELIVERED,2026-03-15 09:00:00,5,5,,,On time
SHP052,BOL-RYD-003,C002,Ryder Transportation,API,FTL,Los Angeles,CA,San Diego,CA,2026-03-15,2026-03-15,2026-03-15,,in_transit,IN_TRANSIT,2026-03-15 20:00:00,2,4,,,On schedule
SHP053,BOL-RYD-004,C002,Ryder Transportation,API,LTL,Atlanta,GA,Jacksonville,FL,2026-03-13,2026-03-15,2026-03-15,2026-03-15 15:00:00,delivered,DELIVERED,2026-03-15 15:00:00,5,5,,,On time
SHP054,BOL-DAY-001,C015,Dayton Freight Lines,API,LTL,Chicago,IL,Indianapolis,IN,2026-03-14,2026-03-15,2026-03-15,2026-03-15 11:00:00,delivered,DELIVERED,2026-03-15 11:00:00,5,5,,,On time
SHP055,BOL-DAY-002,C015,Dayton Freight Lines,API,LTL,Detroit,MI,Columbus,OH,2026-03-15,2026-03-16,2026-03-16,,in_transit,IN_TRANSIT,2026-03-15 19:30:00,2,4,,,On schedule
